datetime,value
2013-02-28,3079851284.5
2013-03-01,2563480963.3
2013-03-04,1115203006.5
2013-03-05,1189220433.5
2013-03-06,1182811650.3
2013-03-07,570459147.4
2013-03-11,1095246802.4
2013-03-12,740655877.0
2013-03-13,1750609202.7
2013-03-14,1677544192.6
2013-03-15,1767437738.1
2013-03-18,4166185069.0
2013-03-19,2326739659.9
2013-03-20,2116704640.0
2013-03-21,1721620841.8
2013-03-22,1242646395.8
2013-03-25,2194429053.8
2013-03-26,3031098765.0
2013-03-27,2583056388.4
2013-03-28,2432923870.5
2013-03-29,567764373.7
2013-04-01,915787346.4
2013-04-02,1150439369.3
2013-04-03,1815284801.8
2013-04-04,2405183576.1
2013-04-05,3071938897.7
2013-04-08,3976414993.2
2013-04-09,2163406976.6
2013-04-10,2081919906.5
2013-04-11,1827013994.3
2013-04-12,1440746418.7
2013-04-15,1163210468.3
2013-04-16,1572523618.0
2013-04-17,1523121602.0
2013-04-18,1375652430.4
2013-04-19,1392595036.2
2013-04-22,2473833825.5
2013-04-23,1467227172.0
2013-04-24,3427345546.8
2013-04-25,4771094221.6
2013-04-26,3803012002.9
2013-04-29,4896357216.9
2013-04-30,7502261363.1
2013-05-02,1157344237.3
2013-05-03,1283419089.6
2013-05-06,1288621255.7
2013-05-07,2630623507.3
2013-05-08,2170573060.0
2013-05-10,612132946.9
2013-05-13,1901920916.9
2013-05-14,2284321521.5
2013-05-15,3235775236.2
2013-05-16,1627730093.4
2013-05-17,3068220630.8
2013-05-20,2831508087.5
2013-05-21,2295568464.7
2013-05-22,2899883115.8
2013-05-23,2298979740.7
2013-05-24,1909277706.8
2013-05-27,794949431.0
2013-05-28,1488280033.7
2013-05-29,1870449358.1
2013-05-30,2491653062.2
2013-05-31,2732379803.7
2013-06-03,3077219696.6
2013-06-04,3948575120.2
2013-06-05,2220799735.7
2013-06-06,2170545955.2
2013-06-07,1235805329.6
2013-06-10,1661626790.3
2013-06-11,1846509171.1
2013-06-13,1316716941.2
2013-06-14,1413058342.5
2013-06-17,1532605926.2
2013-06-18,1488813004.9
2013-06-19,1619797829.1
2013-06-20,2091673909.1
2013-06-21,1581393138.6
2013-06-24,1382779503.8
2013-06-25,1461248607.3
2013-06-26,1572871533.4
2013-06-27,3342672538.5
2013-06-28,1915309164.6
2013-07-01,863395212.3
2013-07-02,1369752427.9
2013-07-03,1011341085.5
2013-07-04,1051531132.5
2013-07-05,1242100475.1
2013-07-08,563183585.8
2013-07-09,950806044.5
2013-07-10,1269527574.8
2013-07-11,2447103895.3
2013-07-12,3045340618.5
2013-07-15,1556958260.8
2013-07-16,2307380047.6
2013-07-17,2675993488.1
2013-07-18,2185927986.6
2013-07-19,1816847618.3
2013-07-22,866517613.0
2013-07-23,1150089010.3
2013-07-24,1446598961.8
2013-07-25,989538674.7
2013-07-26,1031347150.8
2013-07-29,657930345.9
2013-07-30,1009380247.2
2013-07-31,899011552.0
2013-08-01,879603009.1
2013-08-02,986558485.1
2013-08-05,694836866.9
2013-08-06,590920760.2
2013-08-07,801826063.7
2013-08-08,1343506873.2
2013-08-09,818636198.9
2013-08-12,623450423.5
